step,policy,order_id,position,item_type,tote,order_bin,switched_tote,switched_bin,incremental_time,cumulative_time,score_time_component,score_optionality_component,total_score,remaining_total_units
1,greedy,8,1,4,8,8,0,0,1.75,1.75,-1.75,38.87412310915542,37.12412310915542,35
2,greedy,8,1,4,8,8,0,0,1.75,3.5,-1.75,38.680978575365586,36.930978575365586,34
3,greedy,9,2,0,8,9,0,1,2.5,6.0,-2.5,38.482804394942626,35.982804394942626,33
4,greedy,9,2,0,8,9,0,0,1.75,7.75,-1.75,38.27696007194471,36.52696007194471,32
5,greedy,9,2,0,8,9,0,0,1.75,9.5,-1.75,38.057964981612145,36.307964981612145,31
6,greedy,9,1,5,13,9,1,0,5.75,15.25,-5.75,37.86850233244825,32.11850233244825,30
7,greedy,9,3,1,13,9,0,0,1.75,17.0,-1.75,37.673679107329534,35.923679107329534,29
8,greedy,7,2,3,13,7,0,1,2.5,19.5,-2.5,37.47044956827159,34.97044956827159,28
9,greedy,7,2,3,13,7,0,0,1.75,21.25,-1.75,37.252447841084724,35.502447841084724,27
10,greedy,1,1,3,0,1,1,1,6.5,27.75,-6.5,37.06874644757597,30.56874644757597,26
11,greedy,1,1,3,0,1,0,0,1.75,29.5,-1.75,36.87945289238587,35.12945289238587,25
12,greedy,1,1,3,0,1,0,0,1.75,31.25,-1.75,36.68099793052847,34.93099793052847,24
13,greedy,1,2,1,0,1,0,0,1.75,33.0,-1.75,36.46582533823906,34.71582533823906,23
14,greedy,6,1,1,1,6,1,1,6.5,39.5,-6.5,36.2916825386011,29.7916825386011,22
15,greedy,10,1,6,1,10,0,1,2.5,42.0,-2.5,36.11206100103352,33.61206100103352,21
16,greedy,10,1,6,1,10,0,0,1.75,43.75,-1.75,35.922719885620964,34.172719885620964,20
17,greedy,10,1,6,1,10,0,0,1.75,45.5,-1.75,33.01445437164663,31.26445437164663,19
18,greedy,2,2,3,4,2,1,1,6.5,52.0,-6.5,34.33102167150408,27.831021671504082,18
19,greedy,2,2,3,4,2,0,0,1.75,53.75,-1.75,34.12739667388522,32.37739667388522,17
20,greedy,2,2,3,4,2,0,0,1.75,55.5,-1.75,31.02391114955794,29.27391114955794,16
21,greedy,2,1,2,14,2,1,0,5.75,61.25,-5.75,32.32125863155906,26.57125863155906,15
22,greedy,4,1,0,9,4,1,1,6.5,67.75,-6.5,32.15337492742066,25.653374927420657,14
23,greedy,4,1,0,9,4,0,0,1.75,69.5,-1.75,31.961447881883682,30.211447881883682,13
24,greedy,4,1,0,9,4,0,0,1.75,71.25,-1.75,28.85767582831926,27.10767582831926,12
25,greedy,3,1,5,7,3,1,1,6.5,77.75,-6.5,30.17331991734773,23.67331991734773,11
26,greedy,3,1,5,7,3,0,0,1.75,79.5,-1.75,24.36971732357509,22.61971732357509,10
27,greedy,4,2,5,10,4,1,1,6.5,86.0,-6.5,24.5,18.0,9
28,greedy,11,1,1,10,11,0,1,2.5,88.5,-2.5,20.2,17.7,8
29,greedy,5,1,1,11,5,1,1,6.5,95.0,-6.5,20.1,13.600000000000001,7
30,greedy,5,2,2,12,5,1,0,5.75,100.75,-5.75,15.799999999999997,10.049999999999997,6
31,greedy,1,2,1,0,1,1,1,6.5,107.25,-6.5,13.0,6.5,5
32,greedy,2,3,4,14,2,1,1,6.5,113.75,-6.5,10.2,3.6999999999999993,4
33,greedy,6,1,1,1,6,1,1,6.5,120.25,-6.5,7.399999999999999,0.8999999999999986,3
34,greedy,7,1,5,3,7,1,1,6.5,126.75,-6.5,4.6,-1.9000000000000004,2
35,greedy,8,2,2,8,8,1,1,6.5,133.25,-6.5,-0.20000000000000018,-6.7,1
36,greedy,9,3,1,13,9,1,1,6.5,139.75,-6.5,0.0,-6.5,0
