run_name,beam_width,total_time,sum_order_completion_time,optionality_score,objective_score,n_totes,n_units
run_0001,12,81.0,444.0,-5.200000000000001,445.82,8,26
run_0002,12,82.25,308.75,9.933333333333332,305.2733333333333,6,33
run_0003,12,81.25,358.25,-2.200000000000001,359.02,8,27
run_0004,12,18.5,49.0,-1.2000000000000002,49.42,2,7
run_0005,12,108.25,642.0,2.999999999999998,640.95,9,38
run_0006,12,79.0,387.25,-4.800000000000001,388.93,7,28
run_0007,12,47.75,141.0,-3.0,142.05,4,17
run_0008,12,62.25,211.25,-0.20000000000000084,211.32,6,22
run_0009,12,91.0,425.25,11.066666666666668,421.37666666666667,7,34
run_0010,12,100.0,584.75,16.266666666666666,579.0566666666666,8,36
run_0011,12,66.75,193.0,-0.20000000000000095,193.07,6,25
run_0012,12,91.25,523.0,0.7999999999999996,522.72,8,31
run_0013,12,24.25,55.75,-2.4,56.59,3,8
run_0014,12,67.25,306.25,9.6,302.89,6,24
run_0015,12,49.25,189.0,-1.6000000000000003,189.56,5,16
run_0016,12,88.0,519.5,8.666666666666664,516.4666666666667,8,30
run_0017,12,39.5,126.25,0.9999999999999997,125.9,4,14
run_0018,12,77.0,305.25,20.0,298.25,8,25
run_0019,12,64.75,249.25,-1.8000000000000012,249.88,6,23
run_0020,12,90.0,480.25,-1.6000000000000008,480.81,7,33
run_0021,12,37.0,79.25,-4.000000000000001,80.65,4,13
run_0022,12,103.0,663.0,5.2666666666666675,661.1566666666666,9,35
run_0023,12,20.75,50.5,-2.4,51.34,3,6
run_0024,12,48.75,150.25,-3.4000000000000004,151.44,4,18
run_0025,12,67.25,279.25,11.266666666666667,275.3066666666667,6,24
run_0026,12,55.5,238.25,-11.200000000000001,242.17,7,15
run_0027,12,22.5,47.0,-2.4,47.84,3,7
run_0028,12,56.25,192.5,3.1999999999999993,191.38,5,20
run_0029,12,99.75,653.5,-3.2000000000000006,654.62,8,35
run_0030,12,94.75,562.25,-1.800000000000001,562.88,8,33
run_0031,12,74.75,353.0,5.199999999999998,351.18,7,26
run_0032,12,78.75,426.25,1.9999999999999993,425.55,7,27
run_0033,12,87.25,505.75,5.0,504.0,8,30
run_0034,12,99.25,569.5,13.73333333333333,564.6933333333334,8,36
run_0035,12,58.75,178.0,-8.4,180.94,6,20
run_0036,12,97.25,542.0,-4.400000000000002,543.54,9,33
run_0037,12,38.75,85.25,-1.2000000000000002,85.67,4,14
run_0038,12,59.0,203.5,0.9999999999999993,203.15,5,22
run_0039,12,22.5,47.0,-2.4,47.84,3,7
run_0040,12,26.5,57.25,-1.8000000000000003,57.88,4,7
run_0041,12,116.0,771.25,10.399999999999999,767.61,9,42
run_0042,12,99.75,579.25,2.3999999999999995,578.41,9,34
run_0043,12,53.0,209.25,-0.4000000000000006,209.39,5,19
run_0044,12,61.25,252.5,0.9999999999999992,252.15,6,21
run_0045,12,95.5,547.25,15.666666666666666,541.7666666666667,8,33
run_0046,12,37.75,88.75,-0.6000000000000005,88.96,4,13
run_0047,12,76.0,455.5,-0.8000000000000009,455.78,7,25
run_0048,12,90.75,507.0,3.5999999999999996,505.74,7,33
run_0049,12,22.5,55.0,-2.4,55.84,3,7
run_0050,12,50.25,179.75,-5.4,181.64,5,17
