run_name,total_time,sum_order_completion_time,optionality_score,objective_score,n_totes,n_units
run_0001,81.0,470.5,-4.400000000000002,472.04,8,26
run_0002,83.0,312.5,9.666666666666666,309.1166666666667,6,33
run_0003,81.25,378.25,-0.6000000000000008,378.46,8,27
run_0004,18.5,49.0,-1.2000000000000002,49.42,2,7
run_0005,109.0,653.25,4.199999999999998,651.78,9,38
run_0006,79.0,412.5,-4.000000000000001,413.9,7,28
run_0007,47.75,185.25,-2.6,186.16,4,17
run_0008,63.75,240.75,0.1999999999999995,240.68,6,22
run_0009,91.0,425.25,11.066666666666668,421.37666666666667,7,34
run_0010,100.0,584.75,16.266666666666666,579.0566666666666,8,36
run_0011,67.5,204.25,-1.2000000000000002,204.67,6,25
run_0012,91.25,509.0,3.600000000000001,507.74,8,31
run_0013,24.25,63.75,-2.4,64.59,3,8
run_0014,67.25,306.25,9.6,302.89,6,24
run_0015,50.0,240.75,-0.2000000000000005,240.82,5,16
run_0016,88.75,528.25,10.33333333333333,524.6333333333333,8,30
run_0017,41.0,155.0,-0.40000000000000047,155.14,4,14
run_0018,77.0,307.0,21.466666666666665,299.4866666666667,8,25
run_0019,64.75,261.0,-1.0000000000000004,261.35,6,23
run_0020,90.75,502.0,-1.4000000000000006,502.49,7,33
run_0021,37.0,79.25,-4.000000000000001,80.65,4,13
run_0022,103.0,671.25,5.2666666666666675,669.4066666666666,9,35
run_0023,20.75,51.5,-2.4,52.34,3,6
run_0024,48.75,233.25,-2.8,234.23,4,18
run_0025,68.75,288.5,9.200000000000001,285.28,6,24
run_0026,55.5,238.25,-11.200000000000001,242.17,7,15
run_0027,22.5,58.5,-2.4,59.34,3,7
run_0028,57.0,229.75,1.1999999999999995,229.33,5,20
run_0029,99.75,618.75,0.9333333333333335,618.4233333333333,8,35
run_0030,94.75,598.25,-0.400000000000001,598.39,8,33
run_0031,76.25,360.25,3.199999999999999,359.13,7,26
run_0032,78.75,455.5,4.3999999999999995,453.96,7,27
run_0033,87.25,519.25,5.0,517.5,8,30
run_0034,99.25,569.5,13.73333333333333,564.6933333333334,8,36
run_0035,58.75,178.0,-8.4,180.94,6,20
run_0036,97.25,573.75,-3.0000000000000018,574.8,9,33
run_0037,39.5,116.0,-3.4000000000000004,117.19,4,14
run_0038,59.75,241.75,-1.2000000000000006,242.17,5,22
run_0039,22.5,58.5,-2.4,59.34,3,7
run_0040,27.25,77.5,-3.4000000000000004,78.69,4,7
run_0041,116.0,771.75,15.2,766.43,9,42
run_0042,100.5,585.25,2.1999999999999984,584.48,9,34
run_0043,53.75,232.25,0.9999999999999996,231.9,5,19
run_0044,62.75,316.25,-1.4000000000000004,316.74,6,21
run_0045,95.5,547.25,15.666666666666666,541.7666666666667,8,33
run_0046,37.75,148.75,2.6,147.84,4,13
run_0047,76.75,469.75,-1.8000000000000005,470.38,7,25
run_0048,90.0,473.25,6.599999999999999,470.94,7,33
run_0049,22.5,55.0,-2.4,55.84,3,7
run_0050,50.25,214.75,-4.800000000000001,216.43,5,17
