run_name,solver_used,total_time,sum_order_completion_time,optionality_score,objective_score,solver_objective,n_totes,n_units
run_0001,gurobi,79.5,299.75,-5.6,301.71,301.71,8,26
run_0002,gurobi,82.25,234.0,7.2,231.48,231.48000000000002,6,33
run_0003,gurobi,80.5,254.75,-7.800000000000001,257.48,257.48,8,27
run_0004,gurobi,18.5,49.0,-1.2000000000000002,49.42,49.42,2,7
run_0005,gurobi_timelimit,106.75,457.25,0.199999999999998,457.18,457.18,9,38
run_0006,gurobi,78.25,241.75,-7.0,244.2,244.20000000000002,7,28
run_0007,gurobi,47.75,141.0,-3.0,142.05,142.04999999999998,4,17
run_0008,gurobi,61.5,162.0,1.5999999999999992,161.44,161.44,6,22
run_0009,gurobi,91.0,325.0,0.8666666666666667,324.69666666666666,324.69666666666666,7,34
run_0010,gurobi_timelimit,99.25,412.75,7.799999999999999,410.02,410.02,8,36
run_0011,gurobi,66.75,163.5,-5.0,165.25,165.25,6,25
run_0012,gurobi,90.5,351.75,-3.0000000000000013,352.8,352.8,8,31
run_0013,gurobi,24.25,55.75,-2.4,56.59,56.589999999999996,3,8
run_0014,gurobi,66.5,173.5,2.333333333333333,172.68333333333334,172.68333333333334,6,24
run_0015,gurobi,49.25,161.75,-0.6,161.96,161.96,5,16
run_0016,gurobi,87.25,330.75,0.9333333333333325,330.42333333333335,330.42333333333335,8,30
run_0017,gurobi,39.5,126.25,0.9999999999999997,125.9,125.9,4,14
run_0018,gurobi,74.75,167.5,9.799999999999999,164.07,164.07,8,25
run_0019,gurobi,64.75,184.0,-4.199999999999999,185.47,185.47,6,23
run_0020,gurobi,90.0,411.0,1.7999999999999994,410.37,410.37,7,33
run_0021,gurobi,37.0,79.25,-4.000000000000001,80.65,80.64999999999999,4,13
run_0022,gurobi_timelimit,102.25,421.5,1.9999999999999991,420.8,420.8,9,35
run_0023,gurobi,20.75,50.5,-2.4,51.34,51.339999999999996,3,6
run_0024,gurobi,48.75,150.25,-3.4000000000000004,151.44,151.44,4,18
run_0025,gurobi,67.25,200.5,5.8,198.47,198.47,6,24
run_0026,gurobi,55.5,217.75,-11.200000000000001,221.67,221.67,7,15
run_0027,gurobi,22.5,47.0,-2.4,47.84,47.839999999999996,3,7
run_0028,gurobi,56.25,162.5,1.5999999999999996,161.94,161.94000000000003,5,20
run_0029,gurobi,98.25,413.25,-2.400000000000001,414.09,414.09,8,35
run_0030,gurobi,93.25,392.75,1.7999999999999985,392.12,392.12,8,33
run_0031,gurobi,74.75,215.75,1.9999999999999987,215.05,215.05,7,26
run_0032,gurobi,78.75,254.5,-4.600000000000001,256.11,256.11,7,27
run_0033,gurobi,85.75,273.5,-1.8000000000000012,274.13,274.13,8,30
run_0034,gurobi,99.25,369.25,-4.266666666666666,370.74333333333334,370.74333333333334,8,36
run_0035,gurobi,58.75,178.0,-8.4,180.94,180.94,6,20
run_0036,gurobi_timelimit,95.75,384.5,-5.600000000000004,386.46,386.46,9,33
run_0037,gurobi,38.75,85.25,-1.2000000000000002,85.67,85.67,4,14
run_0038,gurobi,57.5,165.25,3.5999999999999996,163.99,163.98999999999998,5,22
run_0039,gurobi,22.5,47.0,-2.4,47.84,47.839999999999996,3,7
run_0040,gurobi,26.5,57.25,-1.8000000000000003,57.88,57.879999999999995,4,7
run_0041,gurobi_timelimit,116.0,488.5,0.9999999999999989,488.15,488.15000000000003,9,42
run_0042,gurobi_timelimit,98.25,393.75,-3.600000000000002,395.01,395.01,9,34
run_0043,gurobi,52.25,114.75,1.3999999999999995,114.26,114.26,5,19
run_0044,gurobi,62.0,214.25,-2.200000000000001,215.02,215.02,6,21
run_0045,gurobi,94.0,400.25,12.4,395.91,395.90999999999997,8,33
run_0046,gurobi,37.75,88.75,-0.6000000000000005,88.96,88.96000000000001,4,13
run_0047,gurobi,76.75,301.5,-6.4,303.74,303.74,7,25
run_0048,gurobi,90.0,360.75,-0.4000000000000012,360.89,360.89,7,33
run_0049,gurobi,22.5,55.0,-2.4,55.84,55.839999999999996,3,7
run_0050,gurobi,49.5,150.75,-2.6,151.66,151.66,5,17
