run_name,exact_mip,baseline_greedy,baseline_beam,baseline_random,best_model,best_objective_score
run_0001,72.83,74.98,74.98,72.83,exact_mip,72.83
run_0002,77.06,77.06,77.06,77.06,exact_mip,77.06
run_0003,68.36,70.72,68.99,68.36,exact_mip,68.36
run_0004,18.92,18.92,18.92,18.92,exact_mip,18.92
run_0005,95.55,100.6,98.17,96.67,exact_mip,95.55
run_0006,74.7,77.34,77.34,74.7,exact_mip,74.7
run_0007,42.34,42.34,42.34,42.34,exact_mip,42.34
run_0008,59.68,62.86,62.3,59.68,exact_mip,59.68
run_0009,83.16666666666667,85.55333333333333,83.96,83.16666666666667,exact_mip,83.16666666666667
run_0010,87.2,90.24,87.76,87.2,exact_mip,87.2
run_0011,56.34,56.34,56.34,56.34,exact_mip,56.34
run_0012,81.4,82.64,82.64,81.4,exact_mip,81.4
run_0013,20.67,20.67,20.67,20.67,exact_mip,20.67
run_0014,61.82,63.76,61.82,61.82,exact_mip,61.82
run_0015,47.24,49.44,47.24,47.24,exact_mip,47.24
run_0016,76.15,79.02666666666667,77.81,76.15,exact_mip,76.15
run_0017,38.73,39.15,39.15,38.73,exact_mip,38.73
run_0018,66.48,70.69,70.41,66.48,exact_mip,66.48
run_0019,65.06,67.28,66.72,65.06,exact_mip,65.06
run_0020,89.12,91.41,90.64,89.12,exact_mip,89.12
run_0021,38.4,38.4,38.4,38.4,exact_mip,38.4
run_0022,89.15,90.81,90.74,89.15,exact_mip,89.15
run_0023,21.59,21.59,21.59,21.59,exact_mip,21.59
run_0024,49.66,49.8,49.66,49.66,exact_mip,49.66
run_0025,61.82,63.06,61.82,61.82,exact_mip,61.82
run_0026,59.42,59.42,59.42,59.42,exact_mip,59.42
run_0027,23.34,23.34,23.34,23.34,exact_mip,23.34
run_0028,50.33,51.85,50.33,50.33,exact_mip,50.33
run_0029,83.28,83.46666666666667,83.46666666666667,83.28,exact_mip,83.28
run_0030,88.19,88.19,88.19,88.19,exact_mip,88.19
run_0031,63.5,65.37,63.5,63.5,exact_mip,63.5
run_0032,71.12,75.47,72.64,71.12,exact_mip,71.12
run_0033,81.03,84.84,83.32,81.03,exact_mip,81.03
run_0034,88.83,90.77,90.77,88.83,exact_mip,88.83
run_0035,53.0,54.31,53.0,53.0,exact_mip,53.0
run_0036,81.39,82.35,82.35,81.39,exact_mip,81.39
run_0037,38.96,40.69,38.96,38.96,exact_mip,38.96
run_0038,56.24,59.49,59.07,56.24,exact_mip,56.24
run_0039,23.34,23.34,23.34,23.34,exact_mip,23.34
run_0040,26.71,28.44,26.71,26.71,exact_mip,26.71
run_0041,102.38,102.38,102.38,102.38,exact_mip,102.38
run_0042,84.47,84.68,84.47,84.47,exact_mip,84.47
run_0043,50.5,51.95,50.5,50.5,exact_mip,50.5
run_0044,53.46,55.19,53.46,53.46,exact_mip,53.46
run_0045,79.03,81.01666666666667,79.21666666666667,79.03,exact_mip,79.03
run_0046,36.84,36.84,36.84,36.84,exact_mip,36.84
run_0047,64.63,64.77,64.7,64.63,exact_mip,64.63
run_0048,87.55,87.69,87.69,87.55,exact_mip,87.55
run_0049,23.34,23.34,23.34,23.34,exact_mip,23.34
run_0050,50.2,52.14,52.14,50.2,exact_mip,50.2
run_0051,82.18,86.32000000000001,86.04,82.6,exact_mip,82.18
run_0052,65.09,66.75,65.37,65.09,exact_mip,65.09
run_0053,72.35,72.35,72.35,72.35,exact_mip,72.35
run_0054,65.14,67.36,67.22,65.14,exact_mip,65.14
run_0055,88.78333333333333,91.49333333333334,89.78666666666666,88.78333333333333,exact_mip,88.78333333333333
run_0056,52.7,54.22,52.7,52.7,exact_mip,52.7
run_0057,95.84,98.53,96.66,95.84,exact_mip,95.84
run_0058,40.35,40.35,40.35,40.35,exact_mip,40.35
run_0059,63.07,64.17,63.07,63.07,exact_mip,63.07
run_0060,34.97,36.21,34.97,34.97,exact_mip,34.97
run_0061,75.29,76.03666666666666,75.85,75.29,exact_mip,75.29
run_0062,23.34,23.34,23.34,23.34,exact_mip,23.34
run_0063,86.93,88.59,86.93,86.93,exact_mip,86.93
run_0064,32.92,32.92,32.92,32.92,exact_mip,32.92
run_0065,26.15,26.15,26.15,26.15,exact_mip,26.15
run_0066,42.65,42.65,42.65,42.65,exact_mip,42.65
run_0067,44.96,46.69,44.96,44.96,exact_mip,44.96
run_0068,31.96,33.69,31.96,31.96,exact_mip,31.96
run_0069,65.12,68.86,68.02,65.12,exact_mip,65.12
run_0070,60.47,61.78,60.61,60.47,exact_mip,60.47
run_0071,78.18,79.84,78.18,78.18,exact_mip,78.18
run_0072,60.95,63.59,63.17,60.95,exact_mip,60.95
run_0073,66.77,69.88,69.46,66.77,exact_mip,66.77
run_0074,26.84,26.84,26.84,26.84,exact_mip,26.84
run_0075,82.42,82.98,82.98,82.42,exact_mip,82.42
run_0076,20.67,20.67,20.67,20.67,exact_mip,20.67
run_0077,62.91,63.19,63.05,62.91,exact_mip,62.91
run_0078,36.09,36.09,36.09,36.09,exact_mip,36.09
run_0079,43.17,43.17,43.17,43.17,exact_mip,43.17
run_0080,46.05,49.44,47.5,46.05,exact_mip,46.05
run_0081,69.17,69.45,69.31,69.17,exact_mip,69.17
run_0082,78.1,78.1,78.1,78.1,exact_mip,78.1
run_0083,31.47,32.71,31.47,31.47,exact_mip,31.47
run_0084,72.47,72.75,72.61,72.47,exact_mip,72.47
run_0085,27.97,29.21,27.97,27.97,exact_mip,27.97
run_0086,50.66,50.94,50.8,50.66,exact_mip,50.66
