step,policy,order_id,position,item_type,tote,order_bin,switched_tote,switched_bin,incremental_time,cumulative_time,score_time_component,score_optionality_component,total_score,remaining_total_units
1,beam,1,1,3,0,1,0,0,1.75,1.75,-1.75,38.869492751011286,37.119492751011286,35
2,beam,1,1,3,0,1,0,0,1.75,3.5,-1.75,38.6702307062428,36.9202307062428,34
3,beam,1,1,3,0,1,0,0,1.75,5.25,-1.75,38.463443268917636,36.713443268917636,33
4,beam,9,2,0,8,9,1,1,6.5,11.75,-6.5,38.27696007194471,31.776960071944707,32
5,beam,9,2,0,8,9,0,0,1.75,13.5,-1.75,38.08693258518496,36.33693258518496,31
6,beam,9,2,0,8,9,0,0,1.75,15.25,-1.75,37.89165668896916,36.14165668896916,30
7,beam,9,1,5,13,9,1,0,5.75,21.0,-5.75,37.70464447666599,31.95464447666599,29
8,beam,9,3,1,13,9,0,0,1.75,22.75,-1.75,37.51228832967898,35.76228832967898,28
9,beam,7,2,3,13,7,0,1,2.5,25.25,-2.5,37.311434004284145,34.811434004284145,27
10,beam,7,2,3,13,7,0,0,1.75,27.0,-1.75,37.0954630127924,35.3454630127924,26
11,beam,10,1,6,1,10,1,1,6.5,33.5,-6.5,36.915372720816165,30.415372720816165,25
12,beam,10,1,6,1,10,0,0,1.75,35.25,-1.75,36.7298098188371,34.9798098188371,24
13,beam,6,1,1,1,6,0,1,2.5,37.75,-2.5,36.53506996460359,34.03506996460359,23
14,beam,2,2,3,4,2,1,1,6.5,44.25,-6.5,36.3423994378104,29.8423994378104,22
15,beam,2,2,3,4,2,0,0,1.75,46.0,-1.75,36.13211533850863,34.38211533850863,21
16,beam,4,1,0,9,4,1,1,6.5,52.5,-6.5,35.94377693996984,29.443776939969837,20
17,beam,4,1,0,9,4,0,0,1.75,54.25,-1.75,35.73661969201386,33.98661969201386,19
18,beam,8,1,4,8,8,1,1,6.5,60.75,-6.5,35.554418398558376,29.054418398558376,18
19,beam,8,1,4,8,8,0,0,1.75,62.5,-1.75,35.35216967900154,33.60216967900154,17
20,beam,1,2,1,0,1,1,1,6.5,69.0,-6.5,35.1526006195579,28.6526006195579,16
21,beam,3,1,5,7,3,1,1,6.5,75.5,-6.5,34.95644478563057,28.456444785630573,15
22,beam,4,2,5,10,4,1,1,6.5,82.0,-6.5,34.76467362525265,28.264673625252648,14
23,beam,2,1,2,14,2,1,1,6.5,88.5,-6.5,34.578594511703535,28.078594511703535,13
24,beam,2,3,4,14,2,0,0,1.75,90.25,-1.75,31.47621818314824,29.72621818314824,12
25,beam,5,1,1,11,5,1,1,6.5,96.75,-6.5,29.87331991734773,23.37331991734773,11
26,beam,6,1,1,1,6,1,1,6.5,103.25,-6.5,28.5,22.0,10
27,beam,10,1,6,1,10,0,1,2.5,105.75,-2.5,24.2,21.7,9
28,beam,1,2,1,0,1,1,1,6.5,112.25,-6.5,21.4,14.899999999999999,8
29,beam,2,2,3,4,2,1,1,6.5,118.75,-6.5,18.6,12.100000000000001,7
30,beam,3,1,5,7,3,1,1,6.5,125.25,-6.5,15.799999999999997,9.299999999999997,6
31,beam,4,1,0,9,4,1,1,6.5,131.75,-6.5,13.0,6.5,5
32,beam,5,2,2,12,5,1,1,6.5,138.25,-6.5,10.2,3.6999999999999993,4
33,beam,7,1,5,3,7,1,1,6.5,144.75,-6.5,7.399999999999999,0.8999999999999986,3
34,beam,8,2,2,8,8,1,1,6.5,151.25,-6.5,4.6,-1.9000000000000004,2
35,beam,9,3,1,13,9,1,1,6.5,157.75,-6.5,-0.20000000000000018,-6.7,1
36,beam,11,1,1,10,11,1,1,6.5,164.25,-6.5,0.0,-6.5,0
